Time,Pressure,Temperature,Light,Sound
s,kPa,°C,lx,dBA
,,,,
448.32,102.4,35.3,78,77.5
449.28,102.4,35.3,80,71.1
450.24,102.4,35.3,83,50.9
451.2,102.4,35.3,83,62.2
452.16,102.4,35.3,81,69
453.12,102.4,35.3,80,74.2
454.08,102.4,35.3,80,73.2
455.04,102.4,35.3,83,73.3
456,102.6,35.3,80,54.1
456.96,102.6,35.3,76,40
457.92,102.6,35.3,75,44
458.88,102.6,35.3,75,55.3
459.84,102.6,35.3,76,54.9
460.8,102.6,35.3,78,40
461.76,102.6,35.3,79,40
462.72,102.6,35.3,79,40
463.68,102.6,35.3,78,40
464.64,102.6,35.3,76,40
465.6,102.6,35.3,76,66
466.56,102.6,35.3,76,40
467.52,102.6,35.3,76,41.8
468.48,102.6,35.3,77,74.8
469.44,102.6,35.3,77,78.5
470.4,102.6,35.3,76,43.1
471.36,102.6,35.3,76,57.2
472.32,102.6,35.3,77,40
473.28,102.6,35.3,78,40
474.24,102.6,35.3,78,60.8
475.2,102.6,35.3,78,40
476.16,102.6,35.3,78,72.4
477.12,102.8,35.4,82,66.7
478.08,102.6,35.3,77,53.1
479.04,102.8,35.4,74,45.1
480,102.6,35.3,74,50
480.96,102.8,35.4,75,54.4
481.92,102.8,35.4,74,40
482.88,102.8,35.4,74,40
483.84,102.8,35.4,74,50.3
484.8,102.8,35.4,75,49.5
485.76,102.8,35.4,75,40
486.72,102.8,35.4,76,40
487.68,102.8,35.4,77,40
488.64,102.8,35.4,78,43.1
489.6,102.8,35.4,79,40
490.56,102.8,35.4,78,40
491.52,102.8,35.4,76,40
492.48,102.8,35.4,77,40
493.44,102.8,35.4,76,40
494.4,102.8,35.4,76,40
495.36,102.8,35.4,76,40
496.32,102.8,35.4,76,40
497.28,102.8,35.4,77,40
498.24,102.8,35.4,79,40
499.2,102.8,35.4,80,40
500.16,103,35.4,79,40
501.12,102.8,35.4,76,40
502.08,103,35.4,76,40
503.04,103,35.4,76,62.5
504,103,35.4,75,61.7
504.96,103,35.4,75,40
505.92,103,35.4,89,40
506.88,103,35.4,93,40
507.84,103,35.4,83,48.6
508.8,103,35.4,80,51
509.76,103,35.4,80,69.4
510.72,103,35.4,81,55.7
511.68,103,35.4,79,55
512.64,103,35.4,78,45.5
513.6,103,35.4,77,40
514.56,103,35.4,78,64.8
515.52,103,35.4,78,62.8
516.48,103,35.4,78,40
517.44,103,35.5,79,62.1
518.4,103,35.4,80,61.5
519.36,103,35.4,81,43.6
520.32,103,35.5,80,40
521.28,103,35.4,78,63.4
522.24,103,35.5,78,40
523.2,103,35.4,77,40
524.16,103,35.5,77,40
525.12,103,35.4,76,40
526.08,103,35.5,92,50.4
527.04,103,35.5,107,40
528,96.5,35.5,129,54.9
528.96,96.3,35.5,134,66.2
529.92,96.3,35.5,136,40
530.88,96.3,35.5,137,49.2
531.84,96.3,35.5,137,40
532.8,96.3,35.5,137,40
533.76,96.3,35.5,136,40
534.72,96.1,35.5,124,40
535.68,96.3,35.5,107,40
536.64,96.3,35.5,104,77.8
537.6,96.3,35.5,111,40
538.56,96.3,35.5,110,68.1
539.52,96.3,35.5,122,70.7
540.48,96.3,35.3,123,74.6
541.44,96.3,35.1,123,55.9
542.4,96.3,34.7,126,40
543.36,96.3,34.3,127,58.3
544.32,96.3,33.8,127,74.8
545.28,96.1,33.3,132,73.1
546.24,96.3,32.9,121,55.8
547.2,96.3,32.4,138,49.8
548.16,96.3,31.8,133,73.5
549.12,96.1,31.3,139,61.7
550.08,96.3,30.8,139,40
551.04,96.1,30.3,137,68.9
552,96.1,29.9,136,58.1
552.96,96.1,29.5,137,64.2
553.92,96.1,29,137,64.5
554.88,96.3,28.6,137,40
555.84,96.1,28.3,140,51.7
556.8,96.1,27.9,140,69.6
557.76,96.3,27.5,143,52.8
558.72,96.1,27.1,139,65
559.68,96.1,26.8,133,61.2
560.64,96.1,26.4,132,40
561.6,96.1,26,115,40
562.56,96.1,25.6,123,44.3
563.52,96.1,25.2,140,40
564.48,96.3,24.8,142,67.5
565.44,96.1,24.4,146,42.9
566.4,96.1,24,131,43
567.36,96.1,23.6,113,40
568.32,96.1,23.2,110,40
569.28,96.1,22.8,109,40
570.24,96.3,22.4,109,40
571.2,96.1,22.1,109,40
572.16,96.1,21.8,108,40
573.12,96.1,21.5,110,40
574.08,96.1,21.2,131,40
575.04,96.1,20.9,55,44.6
576,96.1,20.7,10,55.7
576.96,96.1,20.4,4,40.6
577.92,96.1,20.2,4,40
578.88,96.1,20,4,40
579.84,96.1,19.8,4,40
580.8,96.1,19.6,4,40
581.76,96.1,19.4,4,40
582.72,96.1,19.3,4,40
583.68,96.1,19.1,4,40
584.64,96.3,18.9,4,40
585.6,96.1,18.7,4,40
586.56,96.1,18.6,4,40
587.52,96.1,18.4,4,40
588.48,96.3,18.3,4,40
589.44,96.3,18.1,4,65.3
590.4,96.1,18,4,63.4
591.36,96.3,17.9,4,50.6
592.32,96.3,17.7,4,41.3
593.28,96.1,17.6,85,40
594.24,96.3,17.4,129,40
595.2,96.1,17.3,113,69.8
596.16,96.3,17.2,109,69
597.12,96.1,17,104,40.1
598.08,96.3,16.9,131,65.6
599.04,96.3,16.8,104,40
600,96.3,16.7,51,40
600.96,96.3,16.6,44,72.9
601.92,96.3,16.5,43,53.7
602.88,96.3,16.3,43,72
603.84,96.3,16.2,43,40
604.8,96.3,16.1,43,49.2
605.76,96.3,16,28,40
606.72,96.3,15.9,13,40
607.68,96.3,15.8,11,58.6
608.64,96.1,15.7,10,40
609.6,96.3,15.6,29,65.1
610.56,96.3,15.5,38,72.6
611.52,96.3,15.4,28,42.3
612.48,96.3,15.3,4,40
613.44,96.3,15.2,1,54.3
614.4,96.3,15.1,1,41.2
615.36,96.3,15,1,70.7
616.32,96.3,15,0,59.1
617.28,96.3,14.9,0,40
618.24,96.3,14.8,0,40
619.2,96.3,14.7,1,40
620.16,96.3,14.6,1,40
621.12,96.3,14.6,0,40.1
622.08,96.3,14.5,1,40
623.04,96.3,14.5,1,43.6
624,96.3,14.4,1,66.4
624.96,96.3,14.3,0,71.1
625.92,96.3,14.2,1,71.2
626.88,96.3,14.2,0,65.9
627.84,96.3,14.1,0,76
628.8,96.3,14.1,1,52.3
629.76,96.3,14,1,40
630.72,96.3,13.9,1,78.1
631.68,96.3,13.9,1,40
632.64,96.3,13.8,1,40
633.6,96.3,13.8,1,40
634.56,96.3,13.7,37,40
635.52,96.3,13.7,72,40
636.48,96.3,13.6,83,66.2
637.44,96.3,13.6,91,63.1
638.4,96.3,13.5,92,55
639.36,96.3,13.5,91,59.6
640.32,96.3,13.4,92,44.1
641.28,96.3,13.4,93,43
642.24,96.3,13.3,91,45.7
643.2,96.3,13.3,78,69.3
644.16,96.3,13.2,89,40
645.12,96.3,13.2,99,40
646.08,96.3,13.1,113,40
